"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Personas alcanzadas",Interacciones,"Veces compartido","Me gusta",Comentarios,"Segundos reproducidos","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos de media","Total de clics","Otros clics","Visualizaciones de fotos","Clics en el enlace","Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo","Comentarios negativos únicos de los usuarios: Ocultar todo"
633307662131120,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/30/2023 09:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02kY5brX6M6kar3i4qmM9xYth8drh6sua9XGEKJduqXT9EvTVju5RiGMXvArWw6Appl,0,Foto,,,,,Total,2989,2827,130,21,107,2,0,0,0,0,166,87,78,1,0,0,
634312862030600,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/31/2023 17:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid08CmCj4dJiDxcpzwNXA1hhFDjb5xo1C8vFReLoyHcE3YuNP1MxuWMxk1bXKeSAoh6l,0,Foto,,,,,Total,3390,3355,106,20,86,0,0,0,0,0,380,176,204,,0,0,
634716781990208,103185414664070,"Philosophical Gym Bro",,,0,"02/01/2023 05:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Bk5QvrdScdMiHMwDJiheBy6wEDgjyiMsZ5Y8EUuAX4eVcBXez7FWRkaNCEcgVk4Pl,0,Foto,,,,,Total,8110,7809,175,13,158,4,0,0,0,0,927,266,660,1,0,0,
635169175278302,103185414664070,"Philosophical Gym Bro","Fotos de la biografía",,0,"02/01/2023 15:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0BaU3H1ULWS3mH1199GkidD37HwSYJbRspNLvLhDkhrEHRf3kRM9CNU31vSNmxnUEl,0,Foto,,,,,Total,2144,2052,56,10,45,1,0,0,0,0,87,57,30,,0,0,
635173985277821,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/01/2023 15:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02NQKEzABc7XdaetxizDnZsa1bVuogfqhUDNef36mC76R4VPsKhUyaWV3oUGLmzgPtl,0,Foto,,,,,Total,2248,2149,72,8,62,2,0,0,0,0,291,104,187,,0,0,
638572068271346,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/05/2023 15:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02yjrwWrw8fej2aN3fSmFkHsWx6UQjoMKcaXEq4dgwX3jUxRqBxtgu8SuVY1iHra4Tl,0,Foto,,,,,Total,2028,1961,44,4,39,1,0,0,0,0,146,54,92,,0,0,
640007281461158,103185414664070,"Philosophical Gym Bro","Actualización de estado","Electrons can be blue or green. Protons are yellow or red. Neutrons are always grey. I will die on this hill.",0,"02/07/2023 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uzSzXwH5jYQ5itEvSyQVQv2ct2gRGUbd3uwDAspCinVQ5Qz8g7WzgvJYYpJhTjfl,0,Foto,,,,,Total,1320,1273,13,0,11,2,0,0,0,0,56,30,26,,0,0,
641764831285403,103185414664070,"Philosophical Gym Bro",,"Haha I totally think that we should build a giant massive machine intelligence which is sadistic and more powerful than us. Anybody who doesn't ought to be reconstructed in the future by said intelligence and endlessly punished.",0,"02/09/2023 13:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0N9TrPpSRHh39jk9Da2WHkxBkAKcwichbme34Xfy64xY3eVHYxZCYv6pkYjqezFjhl,0,Foto,,,,,Total,1184,1134,21,2,15,4,0,0,0,0,26,17,9,,0,0,
641870047941548,103185414664070,"Philosophical Gym Bro",,OC,0,"02/09/2023 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02tPp8s1xmM4Ge4uk6wr3NSVYe4UPLTrrnJcD1MdjJtk8HU7WxmLbpr8qmdnfeh6fdl,0,Foto,,,,,Total,4276,4025,145,16,124,5,0,0,0,0,413,126,287,,0,0,
641870201274866,103185414664070,"Philosophical Gym Bro",,OC,0,"02/10/2023 05:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02rzZYvhieKHtdeVV5FqMjcPCkCkGquMrKcvPuRLmyVmLdYqcEau8wu9BkUZu23cv8l,0,Foto,,,,,Total,2280,2190,96,15,79,2,0,0,0,0,115,110,5,,0,0,
