"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Personas alcanzadas","Segundos reproducidos","Comentarios negativos únicos de los usuarios: Ocultar","Reproducciones de vídeo de 60 segundos","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar todo"
368498904799385,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/14/2021 23:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02fB9gJpZyEiapKTtp4GiVna23u6xpyNhfS9grTbKSqmDPZdj8pB2XZdRtFmYzsyuJl,0,Texto,,,,,Total,13,,,13,362,0,,0,0,0,0,8,0,8,0,0,372,
368760534773222,103185414664070,"Philosophical Gym Bro",,"Not OC",0,"08/15/2021 09:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0281HZMrgo1WfgxXUCQZ2rpa42UpUQVhrBZYkv9cfycNJykSLbniG6RE9jpFSbWow2l,0,Foto,,,,,Total,,5,,5,310,0,,0,0,0,0,11,0,11,0,0,334,
369023854746890,103185414664070,"Philosophical Gym Bro",,">tfw no honor",0,"08/15/2021 21:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid021jWPEmfWcFa9KfB9uDsPajXz9u4siHVCoUJfqcGGErdec8zY7uaavehWmyYVRinil,0,Foto,,,,,Total,,2,,2,279,0,,0,0,0,0,9,1,10,0,0,300,
369358304713445,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/16/2021 09:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02vaGetEnsSqGYXRcNyDVMvjASbXt9snvjCUxNYF4k7jKZkDceumEjVDFS4KVCYoGTl,0,Foto,,,,,Total,20,2,,22,584,0,,0,0,0,0,17,0,17,0,0,603,
370057621310180,103185414664070,"Philosophical Gym Bro","Actualización de estado","Profoundly Based",0,"08/17/2021 12:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid035H3GCyBCNNVi3iFb972QriF4FU9eymKmm4U2i3JzrEtqueWzD9QUTz7EzW3La5Uol,0,Foto,,,,,Total,7,,,7,495,0,1,0,0,0,0,9,0,9,0,0,515,
370227667959842,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/17/2021 19:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ieRapLYcDxZNfaBR92vz9GXkjohg1kbhq4thRGRemhRv6WGNYgMQ5qt9oi6v9zMHl,0,Foto,,,,,Total,17,9,,26,412,0,,0,0,0,0,9,0,9,0,0,433,
370650047917604,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/18/2021 11:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0J33rTvhVhqbN126hJikmLN3tyCpWGP9DsVRz2AJbeTSKQiSxr97ia41CswpXQiNvl,0,Foto,,,,,Total,3,4,,7,326,0,,0,0,0,0,5,1,6,0,0,344,
370937851222157,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/18/2021 23:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Z4sdxb7F3DWCoAknXrtooJ1tV5Ywz8ohxNpfMhM5otfdS35iq5CcTCYvwG8LbcSPl,0,Foto,,,,,Total,14,2,,16,411,0,,0,0,0,3,13,2,18,0,0,428,
371010831214859,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/19/2021 02:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ZJJgaJ3MoEbg8EdawTLmYEbtE6jrVgFLHSkuDqPb7EnSKKoE7Ye7UZXpmXmNjXWKl,0,Foto,,,,,Total,38,17,,55,440,0,,0,0,0,1,20,0,21,0,0,481,
372293874419888,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/20/2021 23:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid023rNNL1P4sC3zk9QA3ksCWkkx7is82Rr7BJ7GPU6Tt1JxWeA9i9gZ5DJkh4ENxSEtl,0,Foto,,,,,Total,110,19,,129,1282,0,1,0,0,0,5,81,10,96,0,0,1339,
